sex,age,hours,inctot
1,34,35,61000
1,34,55,70000
2,34,0,8500
1,34,30,3300
2,34,10,6500
2,34,20,7200
2,34,40,13000
1,34,40,23000
1,34,50,48150
1,34,40,8070
1,34,40,25000
2,34,40,55000
2,34,0,3200
1,34,40,20000
1,34,50,52200
1,34,25,3200
2,34,40,25000
2,34,0,0
1,34,40,20000
1,34,40,31300
1,34,40,33700
2,34,50,17820
2,34,0,0
2,34,35,11000
2,34,0,0
2,34,37,12300
2,35,28,6000
2,35,48,44800
2,35,20,2000
2,35,16,6400
2,35,8,15300
2,35,40,10000
2,35,0,16100
2,35,40,37420
1,35,40,90050
1,35,55,52000
1,35,40,3000
2,35,0,0
2,35,55,49000
1,35,50,140000
2,35,32,29300
2,35,40,45400
2,35,0,2000
2,35,40,20000
1,35,50,60000
1,35,60,45000
1,35,50,60000
1,35,40,38830
2,35,40,16000
2,35,40,11000
2,35,40,18000
1,35,40,14000
1,35,40,48000
2,35,0,0
2,35,40,18300
2,35,25,32200
1,35,40,72600
1,35,40,90000
2,35,36,15000
1,35,40,51190
1,35,63,95000
2,35,40,24000
1,35,40,15000
2,35,30,22000
1,35,40,30000
1,35,40,20000
2,35,40,28000
1,35,0,139000
2,35,0,4000
2,35,40,93100
1,35,58,50000
2,35,0,0
1,35,50,40000
2,35,35,28000
2,35,30,10100
2,35,35,6800
1,35,40,18000
1,35,40,10170
1,35,60,63020
2,35,40,19000
2,35,42,26000
2,35,40,30000
2,35,0,0
1,35,40,25000
1,35,40,76000
2,35,0,0
2,35,40,24000
1,35,70,52000
1,35,0,6600
2,35,40,14100
2,35,40,52800
2,35,40,50500
2,35,40,35000
2,35,40,28500
2,35,0,0
1,35,50,45000
2,35,0,6100
2,35,40,18000
1,35,0,11200
2,35,0,0
2,35,35,25000
1,35,55,100700
1,35,50,27100
2,35,20,10000
2,35,40,21220
1,35,35,53000
1,35,15,187600
2,35,40,10000
1,35,40,19000
2,36,40,17700
2,36,0,190
2,36,60,21000
2,36,35,26000
1,36,55,30304
1,36,40,110500
2,36,8,13500
2,36,0,0
2,36,20,15000
1,36,40,111000
1,36,0,8400
1,36,80,464000
2,36,45,10000
2,36,30,43700
2,36,40,29100
2,36,0,0
1,36,0,0
2,36,42,6400
1,36,65,68900
1,36,40,10000
2,36,38,30000
1,36,40,234000
2,36,40,69000
2,36,40,33000
1,36,48,19400
2,36,48,30000
1,36,48,13000
1,36,40,28000
1,36,40,46230
1,36,60,24000
2,36,40,35400
1,36,40,30200
2,36,40,30000
2,36,37,21000
2,36,40,20000
2,36,0,0
2,36,40,18540
1,36,48,11100
1,36,55,19000
2,36,40,73000
2,36,50,19200
1,36,40,42000
2,36,20,4000
1,36,40,25000
2,36,8,13900
1,36,50,54000
2,36,90,10300
1,36,40,15000
2,36,40,6000
2,36,30,26950
2,36,27,10100
2,36,20,17500
1,36,70,30000
1,36,70,247600
2,36,40,19850
2,36,40,4000
2,36,0,0
2,36,35,8100
1,36,0,0
2,36,38,19000
1,36,40,261000
1,36,50,51000
2,36,0,0
2,36,40,27700
1,36,30,26100
2,36,40,34000
1,36,40,6000
1,36,48,24000
1,36,60,11100
2,36,30,10000
2,36,24,38000
1,36,0,6000
2,36,0,0
2,36,40,24200
2,36,40,52000
1,36,40,10900
1,36,85,59030
1,36,55,30000
1,36,50,70000
1,36,45,80300
2,36,0,500
1,36,40,12000
1,36,70,161000
2,36,37,20400
1,36,50,55000
2,36,40,31000
2,36,40,33000
2,36,40,16000
2,37,0,0
2,37,0,0
1,37,50,66000
1,37,40,64010
2,37,0,0
1,37,0,6950
2,37,40,12990
1,37,40,22000
2,37,18,6000
2,37,40,120
2,37,0,0
2,37,40,75000
2,37,40,26000
1,37,40,10000
1,37,72,342000
2,37,30,10000
2,37,30,12000
2,37,60,62000
2,37,0,3400
1,37,50,41000
1,37,42,50000
1,37,45,32600
2,37,40,17000
1,37,0,0
1,37,40,48400
2,37,50,20000
1,37,40,16000
1,37,40,25550
1,37,0,0
2,37,0,0
2,37,40,35000
2,37,0,6000
1,37,50,120000
1,37,40,15000
2,37,40,41000
2,37,40,65000
2,37,50,64500
1,37,50,24000
2,37,30,22200
1,37,40,26000
1,37,40,27000
1,37,40,163000
1,37,40,18000
1,37,60,39000
1,37,40,35000
2,37,5,4950
1,37,60,60600
2,37,0,16000
1,37,40,60100
2,37,35,28000
1,37,40,70600
2,37,40,25000
1,37,40,23100
2,37,40,81350
1,37,43,39000
2,37,40,48400
1,37,40,24250
1,37,40,19000
1,37,40,35200
2,37,0,0
1,37,35,104210
2,37,16,23100
1,37,46,65000
2,37,30,4000
2,37,40,20000
1,37,42,29710
1,37,40,25000
1,37,35,15000
2,37,32,5400
2,37,40,30000
1,37,0,0
2,37,40,20530
1,37,36,48000
2,37,40,17000
1,37,40,30000
1,37,40,46000
1,37,40,26000
2,37,0,0
1,37,37,22000
2,37,0,3580
1,37,0,0
2,38,40,35200
1,38,30,21900
1,38,48,21000
2,38,40,20000
2,38,32,17000
2,38,40,30000
2,38,40,12200
1,38,40,60000
2,38,40,46800
1,38,45,88900
2,38,40,8000
2,38,40,100000
1,38,40,55000
1,38,40,40180
2,38,40,97000
2,38,30,28500
1,38,60,151000
1,38,47,12000
1,38,45,32000
1,38,40,18000
1,38,40,14000
2,38,40,29000
2,38,0,0
1,38,40,50000
2,38,40,21100
2,38,45,19000
1,38,0,2350
1,38,60,51500
2,38,0,0
1,38,60,326000
2,38,0,0
