"room.x","group","midterm","Final","project","hw1","hw1ol","hw2","hw2ol","hw3","hw3ol","hw4","hw4ol","hw5","hw5ol","hw6","hw6ol","hw7","midtermwgt","projectwgt","quizwgt","finalwgt","hw1perc","hw2perc","hw3perc","hw4perc","hw5perc","hw6perc","hw7perc","hw8perc","hw9perc","hw10perc","hw11perc","hw12perc","hw13perc","hwtotalwgt","lab1perc","lab2perc","lab3perc","lab4perc","lab5perc","lab6perc","lab7perc","lab8perc","lab9perc","lab10perc","lab12perc","lab13perc","lab14perc","labtotalwgt","studyhwtotal","studylabtotal","studyhwcompleted","studylabcompleted","Consent","room.y","Section","NewGroup","AppliedCI","ConfMC","AppliedHT","HypMC","NormalDist","Exam","AppliedComb","CIComb","MCComb","HTComb"
"sweeney","CS 6",89.5,74,52.8,15,9,18,21,25,9,34.5,10,18,10,10.5,18,10,22.375,9.6,5,22.2,0.96,0.866666667,0.971428571,0.967391304,0.903225806,0.890625,1,1,0.910714286,0.972222222,0.8,0.931818182,1,14.32830733,0.95,0.94,0.933333333,0.875,0.9,0.916666667,1.111111111,1,0.9,0.9,0.85,0.91025641,1,13.0767094,0.936468618,0.937412886,13,13,1,"Sweeney 1134","c",6,9,6,7,7,NA,74,16,15,13,14
"sweeney","CS 1",90,85,51.8,13.5,10,22.5,21,23,9,35.5,10,20,11,13,17,10,22.5,9.418181818,5,25.5,0.94,0.966666667,0.914285714,0.989130435,1,0.9375,1,0.923076923,0.928571429,0.805555556,0.87,0.863636364,0.75,14.09027391,0.983333333,0.9,0.966666667,0.85,0.9,0.9,1.055555556,1,0.925,1,0.933333333,0,1,13.20486111,0.914494084,0.877991453,13,12,1,"Sweeney 1134","c",1,12,9,11,5,NA,85,23,21,14,16
"sweeney","CS 1",97,93,51.8,17,10,24,21,25,9,36,10,20,11,13,18,10,24.25,9.418181818,5,27.9,1.08,1,0.971428571,1,1,0.96875,1,1,0.982142857,1,0.93,1,1,15.04577922,0.983333333,0.9,0.966666667,0.85,0.9,0.9,1.055555556,1,0.925,1,0.933333333,0.974358974,1,13.29780983,0.994793956,0.952942143,13,13,1,"Sweeney 1134","c",1,11,10,10,8,NA,93,21,21,18,18
"kildee","CK 2",85,71,47,13,10,21.5,21,23,9,30,10,20,11,14,18,10,21.25,8.545454545,4.0625,21.3,0.92,0.944444444,0.914285714,0.869565217,1,1,1,0.94,0.942307692,0.803571429,1,0.891304348,1,14.38955754,1,0.8,0.95,0.9625,0,0.95,1.055555556,0,0.966666667,0.875,0.958333333,0.95,1,14.25173611,0.94042145,0.800106838,13,11,1,"Kildee 0108","c",2,8,5,10,7,NA,71,18,13,12,17
"kildee","DK 1",68,67,52,5.5,10,23.5,21,25,9,28.5,10,20,9,12.5,18,10,17,9.454545455,5,20.1,0.62,0.988888889,0.971428571,0.836956522,0.935483871,0.953125,1,0.78,0.942307692,0.75,1,0.858695652,1,14.00029936,0.983333333,0.88,0.916666667,0.8625,0.9875,0.95,0.972222222,0.9375,1,1,0,1,1,14.49236111,0.895145092,0.881260684,13,12,1,"Kildee 0108","d",1,11,8,2,6,NA,67,13,19,14,8
"kildee","CK 1",86.5,81,51,13.5,10,0,16.14286,15,9,30,10,19,9,11.5,15,10,21.625,9.272727273,5,24.3,0.94,0.358730222,0.685714286,0.869565217,0.903225806,0.828125,1,0.96,0.961538462,0.785714286,1,0.782608696,1,13.67833291,0.983333333,0.9,0.966666667,0.85,0.9,0.866666667,1.055555556,0.9375,0.883333333,0.9375,0.722222222,0.983333333,1,14.24652778,0.851940152,0.920726496,13,13,1,"Kildee 0108","c",1,11,8,6,9,NA,81,17,19,17,15
"sweeney","CS 2",93.5,95,53.8,16,10,19.5,21,25,9,31.5,10,20,10,13,17,10,23.375,9.781818182,5,28.5,1.04,0.9,0.971428571,0.902173913,0.967741935,0.9375,1,1,0.982142857,1,0.96,0.977272727,1,14.77648103,1,0.8,0.95,0.9625,0.9375,0.95,1.055555556,1,0.9,0.95,0.983333333,0.961538462,1,13.43803419,0.972173846,0.957725181,13,13,1,"Sweeney 1134","c",2,12,10,11,8,NA,95,23,22,18,19
"sweeney","DS 3",95.5,92,54,15.5,10,23.5,21,23,9,35,10,20,11,13,18,10,23.875,9.818181818,5,27.6,1.02,0.988888889,0.914285714,0.97826087,1,0.96875,1,0.923076923,0.946428571,0.861111111,1,1,1,14.76191625,0.966666667,0.96,0.966666667,0.9875,0.9875,0.933333333,1,1,0.9,1,0.95,0.974358974,1,13.49086538,0.969292468,0.971232742,13,13,1,"Sweeney 1134","d",3,12,10,10,6,NA,92,22,22,16,16
"kildee","CK 3",64,71,53,10.5,10,19,21,16,9,25.5,10,15,11,9,17,10,16,9.636363636,5,21.3,0.82,0.888888889,0.714285714,0.77173913,0.838709677,0.8125,1,0.88,0.730769231,0.071428571,0.9,0.673913043,1,12.75939906,1,0.86,0.85,0.5375,0.85,0.9,0.888888889,0.875,0.95,0.895833333,0.875,0.933333333,1,13.59756944,0.777094943,0.801196581,13,13,1,"Kildee 0108","c",3,10,8,6,3,NA,71,16,18,11,9
"sweeney","DS 2",87.5,87,45.6,14.5,10,20.5,19.57143,19,8,33,10,20,9,14,18,10,21.875,8.290909091,4.21875,26.1,0.98,0.890476222,0.771428571,0.934782609,0.935483871,1,1,0,0.946428571,0.916666667,0.81,0.863636364,1,14.01473769,0.983333333,0.84,0.983333333,0.8125,0.9875,0.933333333,1.055555556,1,0.875,1,0.983333333,0.91025641,1,13.38955662,0.849915606,0.9510881,12,13,1,"Sweeney 1134","d",2,12,10,10,7,NA,87,22,22,17,17
"kildee","CK 2",79,62,47,11.5,10,0,21,21,7,28.5,9,17,11,13.5,18,10,19.75,8.545454545,4.84375,18.6,0.86,0.466666667,0.8,0.815217391,0.903225806,0.984375,1,0.86,0.903846154,0.875,0.8,0.891304348,1,13.49041186,1,0.8,0.95,0.9625,0.9375,0.95,1.055555556,0.96875,0.966666667,0.875,0,0.95,1,14.43663194,0.85843349,0.873023504,13,12,1,"Kildee 0108","c",2,11,6,2,5,NA,62,13,17,11,7
"sweeney","CS 4",85,85,46.8,14.5,9,17.5,19.57143,23,9,35,10,18,10,12,18,10,21.25,8.509090909,5,25.5,0.94,0.823809556,0.914285714,0.97826087,0.903225806,0.9375,1,0.923076923,0.910714286,1,0.94,0.931818182,1,14.28498542,0.983333333,0.74,0.85,0.6375,0.75,0.816666667,1,1,0.875,0.8,0.833333333,0.846153846,1,12.19310897,0.938668564,0.856306706,13,13,1,"Sweeney 1134","c",4,12,10,11,4,NA,85,23,22,14,15
"kildee","CK 2",81,81,47,1,10,0,16.71428,0,0,0,5,0,10,0,11,0,20.25,8.545454545,5,24.3,0.44,0.371428444,0,0.108695652,0.322580645,0.34375,0,0,0,0,0,0.304347826,1,3.942003502,1,0.9,1,0.95,0.9625,1,1.111111111,0.96875,0,0,0.958333333,0.95,1,14.66753472,0.222369428,0.825694444,7,11,1,"Kildee 0108","c",2,9,9,11,6,NA,81,20,18,15,17
"sweeney","DS 5",84,76,51.5,12.5,10,23.5,17.57143,24,9,33.5,9,20,11,14,18,10,21,9.363636364,5,22.8,0.9,0.912698444,0.942857143,0.923913043,1,1,1,0.923076923,0.946428571,0.944444444,0,0.818181818,1,14.30920714,0.85,0.72,0.95,0.8625,0.925,0.983333333,1,1,0.95,0.9625,0.933333333,0.948717949,1,13.14423077,0.870123107,0.92964497,12,13,1,"Sweeney 1134","d",5,11,6,11,7,NA,76,22,17,13,18
