"originx","originy","widthx","widthy","totalSpatialLoss","maxSpatialLoss","propSpatialLoss","bintype","distrib"
-0.7,-0.7,8,8,301398.941544376,1409246.91333978,0.213872344648312,"standard","norm"
-0.7,-0.7,8,8,422110.870649801,1409246.91333978,0.299529391658866,"random","norm"
-0.6,-0.6,8,8,302784.772239522,1409246.91333978,0.214855728526629,"standard","norm"
-0.6,-0.6,8,8,420458.958116903,1409246.91333978,0.298357196412412,"random","norm"
-0.5,-0.5,8,8,304533.036432926,1409246.91333978,0.216096294801321,"standard","norm"
-0.5,-0.5,8,8,418283.098842305,1409246.91333978,0.296813209156522,"random","norm"
-0.4,-0.4,8,8,306630.443376165,1409246.91333978,0.21758461237249,"standard","norm"
-0.4,-0.4,8,8,416684.138438174,1409246.91333978,0.295678588680156,"random","norm"
-0.3,-0.3,8,8,309064.065354761,1409246.91333978,0.219311507748708,"standard","norm"
-0.3,-0.3,8,8,413715.280459342,1409246.91333978,0.293571890449541,"random","norm"
-0.2,-0.2,8,8,311822.190728239,1409246.91333978,0.221268670363272,"standard","norm"
-0.2,-0.2,8,8,409418.009089204,1409246.91333978,0.290522551593831,"random","norm"
-0.1,-0.1,8,8,314894.879782679,1409246.91333978,0.223449047006537,"standard","norm"
-0.1,-0.1,8,8,405374.467858515,1409246.91333978,0.287653259355251,"random","norm"
0,0,8,8,318274.28519906,1409246.91333978,0.225847069229891,"standard","norm"
0,0,8,8,401733.741134925,1409246.91333978,0.285069803830795,"random","norm"
-1,-1,10,10,374937.301052928,1409246.91333978,0.266055080556722,"standard","norm"
-1,-1,10,10,508925.710792344,1409246.91333978,0.361133103060157,"random","norm"
-0.9,-0.9,10,10,375684.211568957,1409246.91333978,0.266585087405741,"standard","norm"
-0.9,-0.9,10,10,513013.467779239,1409246.91333978,0.364033770748835,"random","norm"
-0.8,-0.8,10,10,376708.391522047,1409246.91333978,0.267311844330589,"standard","norm"
-0.8,-0.8,10,10,516028.229235103,1409246.91333978,0.366173042034319,"random","norm"
-0.7,-0.7,10,10,378012.097192265,1409246.91333978,0.268236952385023,"standard","norm"
-0.7,-0.7,10,10,518662.370704855,1409246.91333978,0.368042225812419,"random","norm"
-0.6,-0.6,10,10,379598.990956399,1409246.91333978,0.26936301038743,"standard","norm"
-0.6,-0.6,10,10,520262.955311088,1409246.91333978,0.369177998820741,"random","norm"
-0.5,-0.5,10,10,381473.93574679,1409246.91333978,0.270693469069045,"standard","norm"
