"originx","originy","widthx","widthy","totalSpatialLoss","bintype","distrib"
-6.83333333333333,-6.83333333333333,10,10,512202.115815555,"random","Uniform"
-6.66666666666667,-6.66666666666667,10,10,378184.781128836,"standard","Uniform"
-6.66666666666667,-6.66666666666667,10,10,517524.424916506,"random","Uniform"
-6.5,-6.5,10,10,381038.766128012,"standard","Uniform"
-6.5,-6.5,10,10,519550.902278191,"random","Uniform"
-6.33333333333333,-6.33333333333333,10,10,384708.51763073,"standard","Uniform"
-6.33333333333333,-6.33333333333333,10,10,521766.900638168,"random","Uniform"
-6.16666666666667,-6.16666666666667,10,10,389220.483969881,"standard","Uniform"
-6.16666666666667,-6.16666666666667,10,10,523258.248840915,"random","Uniform"
-6,-6,10,10,394593.215395434,"standard","Uniform"
-6,-6,10,10,524002.03138997,"random","Uniform"
-5.83333333333333,-5.83333333333333,10,10,389193.909166536,"standard","Uniform"
-5.83333333333333,-5.83333333333333,10,10,523837.325164712,"random","Uniform"
-5.66666666666667,-5.66666666666667,10,10,384657.616633869,"standard","Uniform"
-5.66666666666667,-5.66666666666667,10,10,522299.326151118,"random","Uniform"
-5.5,-5.5,10,10,380965.6204894,"standard","Uniform"
-5.5,-5.5,10,10,521046.497199754,"random","Uniform"
-5.33333333333333,-5.33333333333333,10,10,378091.266766988,"standard","Uniform"
-5.33333333333333,-5.33333333333333,10,10,517873.697155257,"random","Uniform"
-5.16666666666667,-5.16666666666667,10,10,376009.668560822,"standard","Uniform"
-5.16666666666667,-5.16666666666667,10,10,514538.068518997,"random","Uniform"
-2,-2,2,2,141421.35623731,"standard","Normal"
-2,-2,2,2,141421.35623731,"random","Normal"
-1.96666666666667,-1.96666666666667,2,2,136707.311029399,"standard","Normal"
-1.96666666666667,-1.96666666666667,2,2,141290.501506107,"random","Normal"
-1.93333333333333,-1.93333333333333,2,2,131993.265821489,"standard","Normal"
-1.93333333333333,-1.93333333333333,2,2,140937.802437197,"random","Normal"
-1.9,-1.9,2,2,127279.220613578,"standard","Normal"
-1.9,-1.9,2,2,140376.078605276,"random","Normal"
-1.86666666666667,-1.86666666666667,2,2,122565.175405668,"standard","Normal"
-1.86666666666667,-1.86666666666667,2,2,139548.153498146,"random","Normal"
-1.83333333333333,-1.83333333333333,2,2,117851.130197758,"standard","Normal"
-1.83333333333333,-1.83333333333333,2,2,138502.924309805,"random","Normal"
-1.8,-1.8,2,2,113137.084989847,"standard","Normal"
-1.8,-1.8,2,2,137065.300440179,"random","Normal"
-1.76666666666667,-1.76666666666667,2,2,108423.039781937,"standard","Normal"
-1.76666666666667,-1.76666666666667,2,2,135504.397274688,"random","Normal"
-1.73333333333333,-1.73333333333333,2,2,103708.994574027,"standard","Normal"
-1.73333333333333,-1.73333333333333,2,2,133568.466150464,"random","Normal"
-1.7,-1.7,2,2,98994.949366117,"standard","Normal"
-1.7,-1.7,2,2,131639.396354781,"random","Normal"
-1.66666666666667,-1.66666666666667,2,2,94280.9041582061,"standard","Normal"
-1.66666666666667,-1.66666666666667,2,2,128866.157118676,"random","Normal"
-1.63333333333333,-1.63333333333333,2,2,89566.858950296,"standard","Normal"
-1.63333333333333,-1.63333333333333,2,2,126305.923683396,"random","Normal"
-1.6,-1.6,2,2,84852.8137423858,"standard","Normal"
-1.6,-1.6,2,2,123408.61784363,"random","Normal"
-1.56666666666667,-1.56666666666667,2,2,80138.7685344757,"standard","Normal"
